gid,entidad,objeto,fna,geom,gna,nam,fun,ppo,sag,fdc
"2188","0",Mina,Mina Estela (Sal),POINT(-66.991234693 -24.098570848),Mina,Estela,6,95,IGN,Esri-Word_Imagery_2010/IGN01
"2189","0",Mina,Mina Águila (Sal),POINT(-66.9723203569999 -24.162152426),Mina,Águila,6,95,IGN,Esri-Word_Imagery_2010/IGN01
"2190","0",Mina,Salar Morro Colorado (Sal),POINT(-66.9790066429999 -24.1704091559999),"-1",Salar Morro Colorado,6,95,IGN,Esri-Word_Imagery_2010/IGN04/IGN 2566-I 1988
"2191","0",Mina,Mina Socaimar (Plata - Plomo - Zinc),POINT(-66.55885568 -24.103907791),Mina,Socaimar,6,-1,IGN,IGN01
"2192","0",Mina,Cantera Tocomar,POINT(-66.528238529 -24.16508042),Cantera,Tocomar,6,-1,IGN,IGN01
"2193","0",Mina,Mina Queva (Plata - Plomo - Zinc),POINT(-66.7899547929999 -24.3219419),Mina,Queva,6,-1,IGN,IGN01
"2194","0",Mina,Mina Concordia (Cobre),POINT(-66.403119142 -24.200123732),Mina,Concordia,6,26,IGN,Esri WorldImagery2010/IGN01/IGN 2566-I 1988
"2195","0",Mina,Cantera Tina II,POINT(-66.398830022 -24.260462095),Cantera,Tina II,6,-1,IGN,Esri WorldImagery2010
"2196","0",Mina,Mina La Poma (Plata - Plomo),POINT(-66.48947248 -24.242717426),Mina,La Poma,6,105,IGN,Esri WorldImagery2010/IGN01/IGN 2566-I 1988
"2197","0",Mina,(Ripio),POINT(-66.15136612 -24.31117483),,(Ripio),6,93,IGN,Esri WorldImagery2010/IGN01
"2198","0",Mina,Mina Acazoque (Plata - Plomo),POINT(-66.321921859 -24.275357346),Mina,Acazoque,6,105,IGN,IGN01/IGN 2566-I 1988
"2199","0",Mina,Mina Pancho (Cobre),POINT(-65.863437298 -24.2706562889999),Mina,Pancho (Cobre),6,26,IGN,IGN01/IGN04/IGN 2566-II 1990
"2200","0",Mina,Mina Olga (Cobre),POINT(-65.547394472 -22.204108934),Mina,Olga,6,26,IGN,Esri World Imagery 2010/IGN04/IGN 2366-II 90
