producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
273542;21;0895-9811;;;;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;;;;10.1016/j.jsames.2017.12.012;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273552;21;0013-7227;;945;956;ENDOCRINOLOGY;159;2;;10.1210/en.2017-00718;ENDOCRINE SOC;NO INDEXADO
273553;45;;;;;FRONTIERS IN IMMUNOLOGY;9;MAR;;10.3389/fimmu.2018.00379;FRONTIERS MEDIA S.A.;NO INDEXADO
273565;1;;;;;REVISTA DEL IICE;;;;;FACULTAD DE FILOSOFÍA Y LETRAS - INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA EDUCACIÓN;NO INDEXADO
273566;1;;;85;103;REVISTA DE LA ESCUELA DE CIENCIAS DE LA EDUCACIÓN;13;;;;UNIVERSIDAD NACIONAL DE ROSARIO;NO INDEXADO
273567;1;;;;;REVISTA CUADERNOS;;;;;UNIVERSIDAD NACIONAL DE JUJUY;NO INDEXADO
273570;5;;;;;REVISTA CALIDAD DE LA EDUCACIÓN;;;;;CONSEJO NACIONAL DE EDUCACION;NO INDEXADO
273571;35;;;;;PROFESORADO;;;;;UNIVERSIDAD DE GRANADA;NO INDEXADO
273572;4;;;;;PEDAGOGÍA Y SABERES;;;;;UNIVERSIDAD PEDAGÓGICA NACIONAL;NO INDEXADO
273573;4;;;;;EDUCACIÓN Y EDUCADORES;;;;;UNIVERSIDAD DE LA SABANA;NO INDEXADO
273583;21;0895-9811;;;;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;;;;10.1016/j.jsames.2017.12.008;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273585;21;0264-3707;;13;31;JOURNAL OF GEODYNAMICS;113;;;10.1016/j.jog.2017.11.005;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273607;39;0034-5288;;191;208;RESEARCH IN VETERINARY SCIENCE;118 ;;;;ELSEVIER SCI LTD;NO INDEXADO
273625;21;0021-9541;;1402;1413;JOURNAL OF CELLULAR PHYSIOLOGY;233;;;10.1002/jcp.26025;WILEY-LISS, DIV JOHN WILEY & SONS INC;NO INDEXADO
273626;21;0891-5849;;41;55;FREE RADICAL BIOLOGY AND MEDICINE;;120;;;ELSEVIER SCIENCE INC;NO INDEXADO
273642;21;1936-5209;;19;24;JOURNAL OF PLANT REGISTRATIONS;12;;;10.3198/jpr2017.03.0012crc;CROP SCIENCE SOC AMER;NO INDEXADO
273648;21;1600-0897;;;;AM J REPROD IMMUNOL;;;;;WILEY;NO INDEXADO
273654;21;0021-9541;;1402;1413;JOURNAL OF CELLULAR PHYSIOLOGY;233;;;10.1002/jcp.26025;WILEY-LISS, DIV JOHN WILEY & SONS INC;NO INDEXADO
273655;21;0891-5849;;41;55;FREE RADICAL BIOLOGY AND MEDICINE;120;;;;ELSEVIER SCIENCE INC;NO INDEXADO
273656;21;0013-7227;;945;956;ENDOCRINOLOGY;159;2;;10.1210/en.2017-00718;ENDOCRINE SOC;NO INDEXADO
273658;39;0375-9474;;94;113;NUCLEAR PHYSICS A;969;;;10.1016/j.nuclphysa.2017.08.007;ELSEVIER SCIENCE BV;NO INDEXADO
273665;21;1932-6203;;;;PLOS ONE;13;;;10.1371/journal.pone.0193757;PUBLIC LIBRARY SCIENCE;NO INDEXADO
273683;39;0731-7085;;143;150;JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS;149;;;10.1016/j.jpba.2017.10.038;ELSEVIER SCIENCE BV;NO INDEXADO
273684;82;2041-5990;;205;219;THERAPEUTIC DELIVERY;9;3;;10.4155/tde-2017-0087;FUTURE MEDICINE LTD.;NO INDEXADO
273685;31;1530-9932;;1;9;AAPS PHARMSCITECH;;;;10.1208/s12249-018-0952-0;SPRINGER;NO INDEXADO
273689;82;;;;;SCIENTIFIC REPORTS;8;1;;10.1038/s41598-018-19946-2;NATURE PUBLISHING GROUP;NO INDEXADO
273690;404;1175-5326;;321;346;ZOOTAXA;4382;;;10.11646/zootaxa.4382.2.6;MAGNOLIA PRESS;NO INDEXADO
273691;39;0009-2541;;179;190;CHEMICAL GEOLOGY;484;;;10.1016/j.chemgeo.2017.11.034;ELSEVIER SCIENCE BV;NO INDEXADO
273695;21;8755-9129;;1;26;FOOD REVIEWS INTERNATIONAL;34;;;10.1080/87559129.2018.1438471;TAYLOR & FRANCIS INC;NO INDEXADO
273698;404;1175-5326;;587;592;ZOOTAXA;4377;4;;;MAGNOLIA PRESS;NO INDEXADO
273700;39;0924-8579;;;;INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS;;;;10.1016/j.ijantimicag.2018.02.001;ELSEVIER SCIENCE BV;NO INDEXADO
273711;39;0169-1368;;297;317;ORE GEOLOGY REVIEWS;92;;;10.1016/j.oregeorev.2017.11.028;ELSEVIER SCIENCE BV;NO INDEXADO
273772;48;1383-5769;;362;365;PARASITOLOGY INTERNATIONAL;67;4;;10.1016/j.parint.2018.02.005;ELSEVIER IRELAND LTD;NO INDEXADO
273783;21;1541-7786;;833;845;MOLECULAR CANCER RESEARCH;16;5;;10.1158/1541-7786.MCR-17-0433;AMER ASSOC CANCER RESEARCH;NO INDEXADO
273784;45;;;;;FRONTIERS IN IMMUNOLOGY;9;MAR;;10.3389/fimmu.2018.00379;FRONTIERS MEDIA S.A.;NO INDEXADO
273789;82;2041-1723;;;;NATURE COMMUNICATIONS;;;;10.1038/s41467-018-03756-1;NATURE;NO INDEXADO
273790;82;1757-9694;;136;144;INTEGRATIVE BIOLOGY;10;3;;10.1039/C7IB00200A;ROYAL SOC CHEMISTRY;NO INDEXADO
273791;21;1932-6203;;;;PLOS ONE;13;;;10.1371/journal.pone.0193605;PUBLIC LIBRARY SCIENCE;NO INDEXADO
273795;21;0013-7227;;945;956;ENDOCRINOLOGY;159;2;;10.1210/en.2017-00718;ENDOCRINE SOC;NO INDEXADO
273837;39;0308-8146;;;;FOOD CHEMISTRY;;;;;ELSEVIER SCI LTD;NO INDEXADO
273838;39;0016-2361;;;;FUEL;;;;;ELSEVIER SCI LTD;NO INDEXADO
273846;21;0969-8043;;;;APPLIED RADIATION AND ISOTOPES;;;;10.1016/j.apradiso.2018.02.028;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273847;21;0969-8043;;;;APPLIED RADIATION AND ISOTOPES;;;;10.1016/j.apradiso.2018.03.005;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273862;470;0038-0946;;;;SOLAR SYSTEM RESEARCH;;3;;10.7868/S0320930X18030064;MAIK NAUKA/INTERPERIODICA/SPRINGER;NO INDEXADO
273866;82;0077-8923;;;;ANNALS OF THE NEW YORK ACADEMY OF SCIENCES.;;;;10.1111/nyas.13632;BLACKWELL PUBLISHING;NO INDEXADO
273875;21;0361-5995;;;;SOIL SCIENCE SOCIETY OF AMERICA JOURNAL;82;2;;10.2136/sssaj2017.11.0395;SOIL SCI SOC AMER;NO INDEXADO
273876;31;0932-0113;;809;818;PARASITOLOGY RESEARCH;117;3;;10.1007/s00436-018-5755-4;SPRINGER;NO INDEXADO
273877;82;0022-149X;;;;J. HELMINTHOL.;;;;10.1017/S0022149X18000093;CAMBRIDGE UNIV. PRESS;NO INDEXADO
273878;31;0165-5752;;293;300;SYSTEMATIC PARASITOLOGY;95;;;;SPRINGER;NO INDEXADO
273883;21;0066-4804;;;;ANTIMICROBIAL AGENTS AND CHEMOTHERAPY;;;;10.1128/AAC.00212-18;AMER SOC MICROBIOLOGY;NO INDEXADO
