,clasificacion,BARRIO
2021-04-11,264.0,BOEDO
2021-04-18,269.0,BOEDO
2021-04-25,281.0,BOEDO
2021-05-02,179.0,BOEDO
2021-05-09,217.0,BOEDO
2021-05-16,224.0,BOEDO
2021-05-23,262.0,BOEDO
2021-05-30,255.0,BOEDO
2021-06-06,179.0,BOEDO
2021-06-13,174.0,BOEDO
2021-06-20,168.0,BOEDO
2021-06-27,136.0,BOEDO
2021-07-04,120.0,BOEDO
2021-07-11,95.0,BOEDO
2021-07-18,82.0,BOEDO
2021-07-25,80.0,BOEDO
2021-08-01,59.0,BOEDO
2021-08-08,55.0,BOEDO
2021-08-15,43.0,BOEDO
2021-08-22,42.0,BOEDO
2021-08-29,41.0,BOEDO
2021-09-05,26.0,BOEDO
2021-09-12,25.0,BOEDO
2021-09-19,7.0,BOEDO
2021-09-26,14.0,BOEDO
2021-10-03,6.0,BOEDO
2021-10-10,3.0,BOEDO
2021-10-17,9.0,BOEDO
2021-10-24,12.0,BOEDO
2021-10-31,14.0,BOEDO
2021-11-07,21.0,BOEDO
2021-11-14,20.0,BOEDO
2021-11-21,25.0,BOEDO
2021-11-28,21.0,BOEDO
2021-12-05,38.0,BOEDO
2021-12-12,54.0,BOEDO
2021-12-19,102.0,BOEDO
2021-12-26,269.0,BOEDO
2022-01-02,844.0,BOEDO
2022-01-09,1596.0,BOEDO
2022-01-16,1873.0,BOEDO
2022-01-23,1633.0,BOEDO
2022-01-30,847.0,BOEDO
2022-02-06,481.0,BOEDO
2022-02-13,200.0,BOEDO
2022-02-20,121.0,BOEDO
2022-02-27,96.0,BOEDO
2022-03-06,33.0,BOEDO
2022-03-13,40.0,BOEDO
2022-03-20,25.0,BOEDO
2022-03-27,11.0,BOEDO
2022-04-03,17.0,BOEDO
2022-04-10,21.0,BOEDO
2022-04-17,17.0,BOEDO
2022-04-24,33.0,BOEDO
2022-05-01,45.0,BOEDO
2022-05-08,102.0,BOEDO
2022-05-15,208.0,BOEDO
2022-05-22,236.0,BOEDO
2022-05-29,278.0,BOEDO
2022-06-05,179.0,BOEDO
2020-03-01,1.0,CABALLITO
2020-03-08,0.0,CABALLITO
2020-03-15,0.0,CABALLITO
2020-03-22,0.0,CABALLITO
2020-03-29,5.0,CABALLITO
2020-04-05,11.0,CABALLITO
2020-04-12,0.0,CABALLITO
2020-04-19,4.0,CABALLITO
2020-04-26,4.0,CABALLITO
2020-05-03,4.0,CABALLITO
2020-05-10,3.0,CABALLITO
2020-05-17,13.0,CABALLITO
2020-05-24,35.0,CABALLITO
2020-05-31,40.0,CABALLITO
2020-06-07,48.0,CABALLITO
2020-06-14,79.0,CABALLITO
2020-06-21,98.0,CABALLITO
2020-06-28,129.0,CABALLITO
2020-07-05,174.0,CABALLITO
2020-07-12,196.0,CABALLITO
2020-07-19,295.0,CABALLITO
2020-07-26,292.0,CABALLITO
2020-08-02,340.0,CABALLITO
2020-08-09,403.0,CABALLITO
2020-08-16,302.0,CABALLITO
2020-08-23,341.0,CABALLITO
2020-08-30,415.0,CABALLITO
2020-09-06,328.0,CABALLITO
2020-09-13,310.0,CABALLITO
2020-09-20,262.0,CABALLITO
2020-09-27,285.0,CABALLITO
2020-10-04,244.0,CABALLITO
2020-10-11,254.0,CABALLITO
2020-10-18,231.0,CABALLITO
2020-10-25,173.0,CABALLITO
2020-11-01,134.0,CABALLITO
2020-11-08,137.0,CABALLITO
2020-11-15,125.0,CABALLITO
2020-11-22,114.0,CABALLITO
2020-11-29,84.0,CABALLITO
2020-12-06,96.0,CABALLITO
2020-12-13,116.0,CABALLITO
2020-12-20,155.0,CABALLITO
2020-12-27,277.0,CABALLITO
2021-01-03,342.0,CABALLITO
2021-01-10,418.0,CABALLITO
2021-01-17,397.0,CABALLITO
2021-01-24,429.0,CABALLITO
2021-01-31,416.0,CABALLITO
2021-02-07,340.0,CABALLITO
2021-02-14,236.0,CABALLITO
2021-02-21,275.0,CABALLITO
2021-02-28,243.0,CABALLITO
2021-03-07,252.0,CABALLITO
2021-03-14,260.0,CABALLITO
2021-03-21,286.0,CABALLITO
2021-03-28,523.0,CABALLITO
2021-04-04,689.0,CABALLITO
2021-04-11,921.0,CABALLITO
2021-04-18,1046.0,CABALLITO
2021-04-25,871.0,CABALLITO
2021-05-02,821.0,CABALLITO
2021-05-09,761.0,CABALLITO
2021-05-16,825.0,CABALLITO
2021-05-23,891.0,CABALLITO
2021-05-30,860.0,CABALLITO
2021-06-06,665.0,CABALLITO
2021-06-13,565.0,CABALLITO
2021-06-20,506.0,CABALLITO
2021-06-27,484.0,CABALLITO
2021-07-04,347.0,CABALLITO
2021-07-11,338.0,CABALLITO
2021-07-18,377.0,CABALLITO
2021-07-25,312.0,CABALLITO
2021-08-01,249.0,CABALLITO
2021-08-08,245.0,CABALLITO
2021-08-15,175.0,CABALLITO
2021-08-22,139.0,CABALLITO
2021-08-29,104.0,CABALLITO
2021-09-05,95.0,CABALLITO
2021-09-12,77.0,CABALLITO
2021-09-19,68.0,CABALLITO
2021-09-26,57.0,CABALLITO
2021-10-03,46.0,CABALLITO
2021-10-10,50.0,CABALLITO
2021-10-17,55.0,CABALLITO
2021-10-24,60.0,CABALLITO
2021-10-31,77.0,CABALLITO
2021-11-07,89.0,CABALLITO
2021-11-14,100.0,CABALLITO
2021-11-21,103.0,CABALLITO
2021-11-28,126.0,CABALLITO
2021-12-05,138.0,CABALLITO
2021-12-12,258.0,CABALLITO
2021-12-19,416.0,CABALLITO
2021-12-26,1178.0,CABALLITO
2022-01-02,3108.0,CABALLITO
2022-01-09,5496.0,CABALLITO
2022-01-16,6313.0,CABALLITO
2022-01-23,5794.0,CABALLITO
2022-01-30,3324.0,CABALLITO
2022-02-06,1581.0,CABALLITO
2022-02-13,824.0,CABALLITO
2022-02-20,469.0,CABALLITO
2022-02-27,316.0,CABALLITO
2022-03-06,182.0,CABALLITO
2022-03-13,146.0,CABALLITO
2022-03-20,156.0,CABALLITO
2022-03-27,125.0,CABALLITO
2022-04-03,102.0,CABALLITO
2022-04-10,130.0,CABALLITO
2022-04-17,104.0,CABALLITO
2022-04-24,159.0,CABALLITO
2022-05-01,257.0,CABALLITO
2022-05-08,569.0,CABALLITO
2022-05-15,1048.0,CABALLITO
2022-05-22,1128.0,CABALLITO
2022-05-29,1120.0,CABALLITO
2022-06-05,709.0,CABALLITO
2020-03-01,0.0,CHACARITA
2020-03-08,0.0,CHACARITA
2020-03-15,0.0,CHACARITA
2020-03-22,1.0,CHACARITA
2020-03-29,0.0,CHACARITA
2020-04-05,2.0,CHACARITA
2020-04-12,1.0,CHACARITA
2020-04-19,2.0,CHACARITA
2020-04-26,1.0,CHACARITA
2020-05-03,0.0,CHACARITA
2020-05-10,3.0,CHACARITA
2020-05-17,1.0,CHACARITA
2020-05-24,5.0,CHACARITA
2020-05-31,7.0,CHACARITA
2020-06-07,39.0,CHACARITA
2020-06-14,47.0,CHACARITA
2020-06-21,69.0,CHACARITA
2020-06-28,64.0,CHACARITA
2020-07-05,92.0,CHACARITA
2020-07-12,99.0,CHACARITA
2020-07-19,96.0,CHACARITA
2020-07-26,100.0,CHACARITA
2020-08-02,87.0,CHACARITA
2020-08-09,93.0,CHACARITA
2020-08-16,84.0,CHACARITA
2020-08-23,56.0,CHACARITA
2020-08-30,85.0,CHACARITA
2020-09-06,64.0,CHACARITA
2020-09-13,71.0,CHACARITA
2020-09-20,39.0,CHACARITA
2020-09-27,39.0,CHACARITA
2020-10-04,51.0,CHACARITA
2020-10-11,59.0,CHACARITA
2020-10-18,56.0,CHACARITA
2020-10-25,35.0,CHACARITA
2020-11-01,25.0,CHACARITA
2020-11-08,25.0,CHACARITA
2020-11-15,26.0,CHACARITA
2020-11-22,18.0,CHACARITA
2020-11-29,17.0,CHACARITA
2020-12-06,23.0,CHACARITA
2020-12-13,25.0,CHACARITA
2020-12-20,27.0,CHACARITA
2020-12-27,41.0,CHACARITA
2021-01-03,62.0,CHACARITA
2021-01-10,110.0,CHACARITA
2021-01-17,75.0,CHACARITA
2021-01-24,46.0,CHACARITA
2021-01-31,57.0,CHACARITA
2021-02-07,62.0,CHACARITA
2021-02-14,40.0,CHACARITA
2021-02-21,59.0,CHACARITA
2021-02-28,36.0,CHACARITA
2021-03-07,45.0,CHACARITA
2021-03-14,31.0,CHACARITA
2021-03-21,49.0,CHACARITA
2021-03-28,87.0,CHACARITA
2021-04-04,130.0,CHACARITA
2021-04-11,163.0,CHACARITA
2021-04-18,177.0,CHACARITA
2021-04-25,214.0,CHACARITA
2021-05-02,159.0,CHACARITA
2021-05-09,153.0,CHACARITA
2021-05-16,176.0,CHACARITA
2021-05-23,188.0,CHACARITA
2021-05-30,169.0,CHACARITA
2021-06-06,108.0,CHACARITA
2021-06-13,96.0,CHACARITA
2021-06-20,82.0,CHACARITA
2021-06-27,94.0,CHACARITA
2021-07-04,72.0,CHACARITA
2021-07-11,61.0,CHACARITA
2021-07-18,52.0,CHACARITA
2021-07-25,46.0,CHACARITA
2021-08-01,54.0,CHACARITA
2021-08-08,39.0,CHACARITA
2021-08-15,36.0,CHACARITA
2021-08-22,48.0,CHACARITA
2021-08-29,14.0,CHACARITA
2021-09-05,14.0,CHACARITA
2021-09-12,9.0,CHACARITA
2021-09-19,6.0,CHACARITA
2021-09-26,12.0,CHACARITA
2021-10-03,8.0,CHACARITA
2021-10-10,17.0,CHACARITA
2021-10-17,6.0,CHACARITA
2021-10-24,6.0,CHACARITA
2021-10-31,16.0,CHACARITA
2021-11-07,13.0,CHACARITA
2021-11-14,14.0,CHACARITA
2021-11-21,13.0,CHACARITA
2021-11-28,19.0,CHACARITA
2021-12-05,32.0,CHACARITA
2021-12-12,46.0,CHACARITA
2021-12-19,85.0,CHACARITA
2021-12-26,202.0,CHACARITA
2022-01-02,584.0,CHACARITA
2022-01-09,1051.0,CHACARITA
2022-01-16,1162.0,CHACARITA
2022-01-23,990.0,CHACARITA
2022-01-30,499.0,CHACARITA
2022-02-06,268.0,CHACARITA
2022-02-13,127.0,CHACARITA
2022-02-20,75.0,CHACARITA
2022-02-27,58.0,CHACARITA
2022-03-06,28.0,CHACARITA
2022-03-13,21.0,CHACARITA
2022-03-20,26.0,CHACARITA
2022-03-27,16.0,CHACARITA
2022-04-03,19.0,CHACARITA
2022-04-10,15.0,CHACARITA
2022-04-17,7.0,CHACARITA
2022-04-24,24.0,CHACARITA
2022-05-01,33.0,CHACARITA
2022-05-08,76.0,CHACARITA
2022-05-15,155.0,CHACARITA
2022-05-22,173.0,CHACARITA
2022-05-29,157.0,CHACARITA
2022-06-05,96.0,CHACARITA
2020-03-01,0.0,COGHLAN
2020-03-08,0.0,COGHLAN
2020-03-15,0.0,COGHLAN
2020-03-22,0.0,COGHLAN
2020-03-29,0.0,COGHLAN
2020-04-05,0.0,COGHLAN
2020-04-12,2.0,COGHLAN
2020-04-19,0.0,COGHLAN
2020-04-26,2.0,COGHLAN
2020-05-03,1.0,COGHLAN
2020-05-10,2.0,COGHLAN
2020-05-17,1.0,COGHLAN
2020-05-24,5.0,COGHLAN
2020-05-31,3.0,COGHLAN
2020-06-07,4.0,COGHLAN
2020-06-14,7.0,COGHLAN
2020-06-21,11.0,COGHLAN
2020-06-28,11.0,COGHLAN
2020-07-05,24.0,COGHLAN
2020-07-12,29.0,COGHLAN
2020-07-19,35.0,COGHLAN
2020-07-26,30.0,COGHLAN
2020-08-02,27.0,COGHLAN
2020-08-09,21.0,COGHLAN
2020-08-16,23.0,COGHLAN
2020-08-23,20.0,COGHLAN
2020-08-30,29.0,COGHLAN
2020-09-06,35.0,COGHLAN
2020-09-13,40.0,COGHLAN
2020-09-20,41.0,COGHLAN
2020-09-27,31.0,COGHLAN
2020-10-04,31.0,COGHLAN
2020-10-11,19.0,COGHLAN
2020-10-18,19.0,COGHLAN
2020-10-25,17.0,COGHLAN
2020-11-01,15.0,COGHLAN
2020-11-08,13.0,COGHLAN
2020-11-15,15.0,COGHLAN
2020-11-22,11.0,COGHLAN
2020-11-29,6.0,COGHLAN
2020-12-06,3.0,COGHLAN
2020-12-13,12.0,COGHLAN
2020-12-20,15.0,COGHLAN
2020-12-27,19.0,COGHLAN
2021-01-03,35.0,COGHLAN
2021-01-10,57.0,COGHLAN
2021-01-17,42.0,COGHLAN
2021-01-24,50.0,COGHLAN
2021-01-31,36.0,COGHLAN
2021-02-07,38.0,COGHLAN
2021-02-14,25.0,COGHLAN
2021-02-21,26.0,COGHLAN
2021-02-28,22.0,COGHLAN
2021-03-07,16.0,COGHLAN
2021-03-14,28.0,COGHLAN
2021-03-21,43.0,COGHLAN
2021-03-28,53.0,COGHLAN
2021-04-04,66.0,COGHLAN
2021-04-11,95.0,COGHLAN
2021-04-18,100.0,COGHLAN
2021-04-25,87.0,COGHLAN
2021-05-02,105.0,COGHLAN
2021-05-09,67.0,COGHLAN
2021-05-16,84.0,COGHLAN
2021-05-23,97.0,COGHLAN
2021-05-30,83.0,COGHLAN
2021-06-06,60.0,COGHLAN
2021-06-13,49.0,COGHLAN
2021-06-20,41.0,COGHLAN
2021-06-27,47.0,COGHLAN
2021-07-04,45.0,COGHLAN
2021-07-11,36.0,COGHLAN
2021-07-18,32.0,COGHLAN
2021-07-25,27.0,COGHLAN
2021-08-01,24.0,COGHLAN
2021-08-08,27.0,COGHLAN
2021-08-15,18.0,COGHLAN
2021-08-22,14.0,COGHLAN
2021-08-29,21.0,COGHLAN
2021-09-05,10.0,COGHLAN
2021-09-12,17.0,COGHLAN
2021-09-19,13.0,COGHLAN
2021-09-26,4.0,COGHLAN
2021-10-03,3.0,COGHLAN
2021-10-10,6.0,COGHLAN
2021-10-17,7.0,COGHLAN
2021-10-24,9.0,COGHLAN
2021-10-31,17.0,COGHLAN
2021-11-07,9.0,COGHLAN
2021-11-14,10.0,COGHLAN
2021-11-21,8.0,COGHLAN
2021-11-28,22.0,COGHLAN
2021-12-05,24.0,COGHLAN
2021-12-12,37.0,COGHLAN
2021-12-19,47.0,COGHLAN
2021-12-26,130.0,COGHLAN
2022-01-02,321.0,COGHLAN
2022-01-09,481.0,COGHLAN
2022-01-16,637.0,COGHLAN
2022-01-23,610.0,COGHLAN
2022-01-30,322.0,COGHLAN
2022-02-06,196.0,COGHLAN
2022-02-13,102.0,COGHLAN
2022-02-20,59.0,COGHLAN
2022-02-27,29.0,COGHLAN
2022-03-06,20.0,COGHLAN
2022-03-13,22.0,COGHLAN
2022-03-20,16.0,COGHLAN
2022-03-27,23.0,COGHLAN
2022-04-03,23.0,COGHLAN
2022-04-10,16.0,COGHLAN
2022-04-17,24.0,COGHLAN
2022-04-24,21.0,COGHLAN
2022-05-01,50.0,COGHLAN
2022-05-08,73.0,COGHLAN
2022-05-15,154.0,COGHLAN
2022-05-22,129.0,COGHLAN
2022-05-29,127.0,COGHLAN
2022-06-05,77.0,COGHLAN
2020-03-01,0.0,COLEGIALES
2020-03-08,0.0,COLEGIALES
2020-03-15,2.0,COLEGIALES
2020-03-22,0.0,COLEGIALES
2020-03-29,2.0,COLEGIALES
2020-04-05,0.0,COLEGIALES
2020-04-12,1.0,COLEGIALES
2020-04-19,3.0,COLEGIALES
2020-04-26,4.0,COLEGIALES
2020-05-03,1.0,COLEGIALES
2020-05-10,0.0,COLEGIALES
2020-05-17,1.0,COLEGIALES
2020-05-24,1.0,COLEGIALES
2020-05-31,26.0,COLEGIALES
2020-06-07,8.0,COLEGIALES
2020-06-14,35.0,COLEGIALES
2020-06-21,39.0,COLEGIALES
2020-06-28,36.0,COLEGIALES
2020-07-05,48.0,COLEGIALES
2020-07-12,44.0,COLEGIALES
2020-07-19,78.0,COLEGIALES
2020-07-26,98.0,COLEGIALES
2020-08-02,81.0,COLEGIALES
2020-08-09,102.0,COLEGIALES
2020-08-16,95.0,COLEGIALES
2020-08-23,77.0,COLEGIALES
2020-08-30,114.0,COLEGIALES
2020-09-06,101.0,COLEGIALES
2020-09-13,73.0,COLEGIALES
2020-09-20,61.0,COLEGIALES
2020-09-27,54.0,COLEGIALES
2020-10-04,63.0,COLEGIALES
2020-10-11,78.0,COLEGIALES
2020-10-18,75.0,COLEGIALES
2020-10-25,55.0,COLEGIALES
2020-11-01,33.0,COLEGIALES
2020-11-08,46.0,COLEGIALES
2020-11-15,45.0,COLEGIALES
2020-11-22,55.0,COLEGIALES
2020-11-29,40.0,COLEGIALES
2020-12-06,23.0,COLEGIALES
2020-12-13,36.0,COLEGIALES
2020-12-20,59.0,COLEGIALES
2020-12-27,56.0,COLEGIALES
2021-01-03,105.0,COLEGIALES
2021-01-10,128.0,COLEGIALES
2021-01-17,119.0,COLEGIALES
2021-01-24,127.0,COLEGIALES
2021-01-31,108.0,COLEGIALES
2021-02-07,86.0,COLEGIALES
2021-02-14,70.0,COLEGIALES
2021-02-21,63.0,COLEGIALES
2021-02-28,58.0,COLEGIALES
2021-03-07,80.0,COLEGIALES
2021-03-14,88.0,COLEGIALES
2021-03-21,95.0,COLEGIALES
2021-03-28,122.0,COLEGIALES
2021-04-04,197.0,COLEGIALES
2021-04-11,270.0,COLEGIALES
2021-04-18,248.0,COLEGIALES
2021-04-25,255.0,COLEGIALES
2021-05-02,195.0,COLEGIALES
2021-05-09,199.0,COLEGIALES
2021-05-16,190.0,COLEGIALES
2021-05-23,222.0,COLEGIALES
2021-05-30,170.0,COLEGIALES
2021-06-06,170.0,COLEGIALES
2021-06-13,166.0,COLEGIALES
2021-06-20,150.0,COLEGIALES
2021-06-27,140.0,COLEGIALES
2021-07-04,94.0,COLEGIALES
2021-07-11,107.0,COLEGIALES
2021-07-18,86.0,COLEGIALES
2021-07-25,75.0,COLEGIALES
2021-08-01,93.0,COLEGIALES
2021-08-08,81.0,COLEGIALES
2021-08-15,69.0,COLEGIALES
2021-08-22,63.0,COLEGIALES
2021-08-29,33.0,COLEGIALES
2021-09-05,32.0,COLEGIALES
2021-09-12,30.0,COLEGIALES
2021-09-19,22.0,COLEGIALES
2021-09-26,11.0,COLEGIALES
2021-10-03,10.0,COLEGIALES
2021-10-10,16.0,COLEGIALES
2021-10-17,22.0,COLEGIALES
2021-10-24,17.0,COLEGIALES
2021-10-31,10.0,COLEGIALES
2021-11-07,20.0,COLEGIALES
2021-11-14,28.0,COLEGIALES
2021-11-21,20.0,COLEGIALES
2021-11-28,30.0,COLEGIALES
2021-12-05,65.0,COLEGIALES
2021-12-12,85.0,COLEGIALES
2021-12-19,139.0,COLEGIALES
2021-12-26,404.0,COLEGIALES
2022-01-02,934.0,COLEGIALES
2022-01-09,1344.0,COLEGIALES
2022-01-16,1533.0,COLEGIALES
2022-01-23,1555.0,COLEGIALES
2022-01-30,904.0,COLEGIALES
2022-02-06,527.0,COLEGIALES
2022-02-13,227.0,COLEGIALES
2022-02-20,154.0,COLEGIALES
2022-02-27,108.0,COLEGIALES
2022-03-06,77.0,COLEGIALES
2022-03-13,51.0,COLEGIALES
2022-03-20,44.0,COLEGIALES
2022-03-27,28.0,COLEGIALES
2022-04-03,44.0,COLEGIALES
2022-04-10,39.0,COLEGIALES
2022-04-17,45.0,COLEGIALES
2022-04-24,64.0,COLEGIALES
2022-05-01,84.0,COLEGIALES
2022-05-08,198.0,COLEGIALES
2022-05-15,357.0,COLEGIALES
2022-05-22,366.0,COLEGIALES
2022-05-29,357.0,COLEGIALES
2022-06-05,243.0,COLEGIALES
2020-03-01,0.0,CONSTITUCION
2020-03-08,0.0,CONSTITUCION
2020-03-15,0.0,CONSTITUCION
2020-03-22,0.0,CONSTITUCION
2020-03-29,0.0,CONSTITUCION
2020-04-05,0.0,CONSTITUCION
2020-04-12,2.0,CONSTITUCION
2020-04-19,1.0,CONSTITUCION
2020-04-26,0.0,CONSTITUCION
2020-05-03,1.0,CONSTITUCION
2020-05-10,2.0,CONSTITUCION
2020-05-17,3.0,CONSTITUCION
2020-05-24,26.0,CONSTITUCION
2020-05-31,39.0,CONSTITUCION
2020-06-07,47.0,CONSTITUCION
2020-06-14,70.0,CONSTITUCION
2020-06-21,106.0,CONSTITUCION
2020-06-28,115.0,CONSTITUCION
2020-07-05,139.0,CONSTITUCION
2020-07-12,127.0,CONSTITUCION
2020-07-19,154.0,CONSTITUCION
2020-07-26,216.0,CONSTITUCION
2020-08-02,169.0,CONSTITUCION
2020-08-09,169.0,CONSTITUCION
2020-08-16,147.0,CONSTITUCION
2020-08-23,152.0,CONSTITUCION
2020-08-30,148.0,CONSTITUCION
2020-09-06,143.0,CONSTITUCION
2020-09-13,143.0,CONSTITUCION
2020-09-20,106.0,CONSTITUCION
2020-09-27,86.0,CONSTITUCION
2020-10-04,99.0,CONSTITUCION
2020-10-11,70.0,CONSTITUCION
2020-10-18,90.0,CONSTITUCION
2020-10-25,64.0,CONSTITUCION
2020-11-01,42.0,CONSTITUCION
2020-11-08,55.0,CONSTITUCION
2020-11-15,55.0,CONSTITUCION
2020-11-22,43.0,CONSTITUCION
2020-11-29,43.0,CONSTITUCION
2020-12-06,39.0,CONSTITUCION
2020-12-13,39.0,CONSTITUCION
2020-12-20,65.0,CONSTITUCION
2020-12-27,55.0,CONSTITUCION
2021-01-03,66.0,CONSTITUCION
2021-01-10,100.0,CONSTITUCION
2021-01-17,87.0,CONSTITUCION
2021-01-24,80.0,CONSTITUCION
2021-01-31,92.0,CONSTITUCION
2021-02-07,66.0,CONSTITUCION
2021-02-14,80.0,CONSTITUCION
2021-02-21,73.0,CONSTITUCION
2021-02-28,69.0,CONSTITUCION
2021-03-07,76.0,CONSTITUCION
2021-03-14,82.0,CONSTITUCION
2021-03-21,79.0,CONSTITUCION
2021-03-28,124.0,CONSTITUCION
2021-04-04,168.0,CONSTITUCION
2021-04-11,268.0,CONSTITUCION
2021-04-18,312.0,CONSTITUCION
2021-04-25,314.0,CONSTITUCION
2021-05-02,297.0,CONSTITUCION
2021-05-09,263.0,CONSTITUCION
2021-05-16,246.0,CONSTITUCION
2021-05-23,299.0,CONSTITUCION
2021-05-30,254.0,CONSTITUCION
2021-06-06,185.0,CONSTITUCION
2021-06-13,169.0,CONSTITUCION
2021-06-20,152.0,CONSTITUCION
2021-06-27,112.0,CONSTITUCION
2021-07-04,94.0,CONSTITUCION
2021-07-11,72.0,CONSTITUCION
2021-07-18,91.0,CONSTITUCION
2021-07-25,62.0,CONSTITUCION
2021-08-01,55.0,CONSTITUCION
2021-08-08,64.0,CONSTITUCION
2021-08-15,43.0,CONSTITUCION
2021-08-22,31.0,CONSTITUCION
2021-08-29,20.0,CONSTITUCION
2021-09-05,14.0,CONSTITUCION
2021-09-12,21.0,CONSTITUCION
2021-09-19,6.0,CONSTITUCION
2021-09-26,6.0,CONSTITUCION
2021-10-03,12.0,CONSTITUCION
2021-10-10,3.0,CONSTITUCION
2021-10-17,7.0,CONSTITUCION
2021-10-24,12.0,CONSTITUCION
2021-10-31,11.0,CONSTITUCION
2021-11-07,11.0,CONSTITUCION
2021-11-14,16.0,CONSTITUCION
2021-11-21,14.0,CONSTITUCION
2021-11-28,16.0,CONSTITUCION
2021-12-05,27.0,CONSTITUCION
2021-12-12,40.0,CONSTITUCION
2021-12-19,70.0,CONSTITUCION
2021-12-26,172.0,CONSTITUCION
2022-01-02,658.0,CONSTITUCION
2022-01-09,1675.0,CONSTITUCION
2022-01-16,1741.0,CONSTITUCION
2022-01-23,1197.0,CONSTITUCION
2022-01-30,625.0,CONSTITUCION
2022-02-06,282.0,CONSTITUCION
2022-02-13,126.0,CONSTITUCION
2022-02-20,78.0,CONSTITUCION
2022-02-27,39.0,CONSTITUCION
2022-03-06,37.0,CONSTITUCION
2022-03-13,21.0,CONSTITUCION
2022-03-20,15.0,CONSTITUCION
2022-03-27,8.0,CONSTITUCION
2022-04-03,8.0,CONSTITUCION
2022-04-10,10.0,CONSTITUCION
2022-04-17,11.0,CONSTITUCION
2022-04-24,15.0,CONSTITUCION
2022-05-01,19.0,CONSTITUCION
2022-05-08,33.0,CONSTITUCION
2022-05-15,95.0,CONSTITUCION
2022-05-22,130.0,CONSTITUCION
2022-05-29,119.0,CONSTITUCION
2022-06-05,76.0,CONSTITUCION
2020-03-01,0.0,FLORES
2020-03-08,1.0,FLORES
2020-03-15,1.0,FLORES
2020-03-22,0.0,FLORES
2020-03-29,5.0,FLORES
2020-04-05,7.0,FLORES
2020-04-12,3.0,FLORES
2020-04-19,14.0,FLORES
2020-04-26,29.0,FLORES
2020-05-03,16.0,FLORES
2020-05-10,68.0,FLORES
2020-05-17,257.0,FLORES
2020-05-24,486.0,FLORES
2020-05-31,513.0,FLORES
2020-06-07,515.0,FLORES
2020-06-14,574.0,FLORES
2020-06-21,390.0,FLORES
2020-06-28,392.0,FLORES
2020-07-05,381.0,FLORES
2020-07-12,357.0,FLORES
2020-07-19,402.0,FLORES
2020-07-26,446.0,FLORES
2020-08-02,481.0,FLORES
2020-08-09,397.0,FLORES
2020-08-16,359.0,FLORES
2020-08-23,375.0,FLORES
2020-08-30,466.0,FLORES
2020-09-06,336.0,FLORES
2020-09-13,352.0,FLORES
2020-09-20,262.0,FLORES
2020-09-27,220.0,FLORES
2020-10-04,216.0,FLORES
2020-10-11,214.0,FLORES
2020-10-18,194.0,FLORES
2020-10-25,189.0,FLORES
2020-11-01,123.0,FLORES
2020-11-08,147.0,FLORES
2020-11-15,131.0,FLORES
2020-11-22,90.0,FLORES
2020-11-29,84.0,FLORES
2020-12-06,92.0,FLORES
2020-12-13,96.0,FLORES
2020-12-20,162.0,FLORES
2020-12-27,218.0,FLORES
2021-01-03,286.0,FLORES
2021-01-10,363.0,FLORES
2021-01-17,333.0,FLORES
2021-01-24,320.0,FLORES
2021-01-31,273.0,FLORES
2021-02-07,253.0,FLORES
2021-02-14,234.0,FLORES
2021-02-21,209.0,FLORES
2021-02-28,221.0,FLORES
2021-03-07,200.0,FLORES
2021-03-14,265.0,FLORES
2021-03-21,238.0,FLORES
2021-03-28,400.0,FLORES
2021-04-04,570.0,FLORES
2021-04-11,739.0,FLORES
2021-04-18,822.0,FLORES
2021-04-25,818.0,FLORES
2021-05-02,695.0,FLORES
2021-05-09,674.0,FLORES
2021-05-16,748.0,FLORES
2021-05-23,817.0,FLORES
2021-05-30,766.0,FLORES
2021-06-06,549.0,FLORES
2021-06-13,498.0,FLORES
2021-06-20,355.0,FLORES
2021-06-27,367.0,FLORES
2021-07-04,316.0,FLORES
2021-07-11,265.0,FLORES
2021-07-18,252.0,FLORES
2021-07-25,187.0,FLORES
2021-08-01,160.0,FLORES
2021-08-08,168.0,FLORES
2021-08-15,149.0,FLORES
2021-08-22,130.0,FLORES
2021-08-29,99.0,FLORES
2021-09-05,88.0,FLORES
2021-09-12,55.0,FLORES
2021-09-19,53.0,FLORES
2021-09-26,34.0,FLORES
2021-10-03,42.0,FLORES
2021-10-10,37.0,FLORES
2021-10-17,48.0,FLORES
2021-10-24,54.0,FLORES
2021-10-31,46.0,FLORES
2021-11-07,49.0,FLORES
2021-11-14,68.0,FLORES
2021-11-21,65.0,FLORES
2021-11-28,77.0,FLORES
2021-12-05,104.0,FLORES
2021-12-12,151.0,FLORES
2021-12-19,259.0,FLORES
2021-12-26,658.0,FLORES
2022-01-02,2240.0,FLORES
2022-01-09,5464.0,FLORES
2022-01-16,5529.0,FLORES
2022-01-23,4361.0,FLORES
2022-01-30,2181.0,FLORES
2022-02-06,1079.0,FLORES
2022-02-13,530.0,FLORES
2022-02-20,300.0,FLORES
2022-02-27,139.0,FLORES
2022-03-06,100.0,FLORES
2022-03-13,88.0,FLORES
2022-03-20,79.0,FLORES
2022-03-27,66.0,FLORES
2022-04-03,55.0,FLORES
2022-04-10,79.0,FLORES
2022-04-17,60.0,FLORES
2022-04-24,95.0,FLORES
2022-05-01,144.0,FLORES
2022-05-08,304.0,FLORES
