,clasificacion,BARRIO
2020-07-26,326.0,ALMAGRO
2020-08-02,244.0,ALMAGRO
2020-08-09,354.0,ALMAGRO
2020-08-16,255.0,ALMAGRO
2020-08-23,306.0,ALMAGRO
2020-08-30,344.0,ALMAGRO
2020-09-06,322.0,ALMAGRO
2020-09-13,387.0,ALMAGRO
2020-09-20,259.0,ALMAGRO
2020-09-27,221.0,ALMAGRO
2020-10-04,213.0,ALMAGRO
2020-10-11,215.0,ALMAGRO
2020-10-18,219.0,ALMAGRO
2020-10-25,171.0,ALMAGRO
2020-11-01,165.0,ALMAGRO
2020-11-08,136.0,ALMAGRO
2020-11-15,106.0,ALMAGRO
2020-11-22,104.0,ALMAGRO
2020-11-29,101.0,ALMAGRO
2020-12-06,74.0,ALMAGRO
2020-12-13,92.0,ALMAGRO
2020-12-20,146.0,ALMAGRO
2020-12-27,177.0,ALMAGRO
2021-01-03,234.0,ALMAGRO
2021-01-10,338.0,ALMAGRO
2021-01-17,304.0,ALMAGRO
2021-01-24,312.0,ALMAGRO
2021-01-31,257.0,ALMAGRO
2021-02-07,252.0,ALMAGRO
2021-02-14,197.0,ALMAGRO
2021-02-21,178.0,ALMAGRO
2021-02-28,196.0,ALMAGRO
2021-03-07,207.0,ALMAGRO
2021-03-14,199.0,ALMAGRO
2021-03-21,217.0,ALMAGRO
2021-03-28,344.0,ALMAGRO
2021-04-04,487.0,ALMAGRO
2021-04-11,643.0,ALMAGRO
2021-04-18,825.0,ALMAGRO
2021-04-25,788.0,ALMAGRO
2021-05-02,609.0,ALMAGRO
2021-05-09,592.0,ALMAGRO
2021-05-16,623.0,ALMAGRO
2021-05-23,778.0,ALMAGRO
2021-05-30,712.0,ALMAGRO
2021-06-06,552.0,ALMAGRO
2021-06-13,429.0,ALMAGRO
2021-06-20,358.0,ALMAGRO
2021-06-27,327.0,ALMAGRO
2021-07-04,282.0,ALMAGRO
2021-07-11,245.0,ALMAGRO
2021-07-18,259.0,ALMAGRO
2021-07-25,254.0,ALMAGRO
2021-08-01,227.0,ALMAGRO
2021-08-08,176.0,ALMAGRO
2021-08-15,121.0,ALMAGRO
2021-08-22,107.0,ALMAGRO
2021-08-29,99.0,ALMAGRO
2021-09-05,72.0,ALMAGRO
2021-09-12,46.0,ALMAGRO
2021-09-19,25.0,ALMAGRO
2021-09-26,31.0,ALMAGRO
2021-10-03,30.0,ALMAGRO
2021-10-10,24.0,ALMAGRO
2021-10-17,37.0,ALMAGRO
2021-10-24,37.0,ALMAGRO
2021-10-31,44.0,ALMAGRO
2021-11-07,55.0,ALMAGRO
2021-11-14,71.0,ALMAGRO
2021-11-21,76.0,ALMAGRO
2021-11-28,72.0,ALMAGRO
2021-12-05,92.0,ALMAGRO
2021-12-12,182.0,ALMAGRO
2021-12-19,307.0,ALMAGRO
2021-12-26,806.0,ALMAGRO
2022-01-02,2296.0,ALMAGRO
2022-01-09,4287.0,ALMAGRO
2022-01-16,4858.0,ALMAGRO
2022-01-23,4092.0,ALMAGRO
2022-01-30,2143.0,ALMAGRO
2022-02-06,1103.0,ALMAGRO
2022-02-13,516.0,ALMAGRO
2022-02-20,297.0,ALMAGRO
2022-02-27,207.0,ALMAGRO
2022-03-06,149.0,ALMAGRO
2022-03-13,93.0,ALMAGRO
2022-03-20,89.0,ALMAGRO
2022-03-27,69.0,ALMAGRO
2022-04-03,73.0,ALMAGRO
2022-04-10,73.0,ALMAGRO
2022-04-17,81.0,ALMAGRO
2022-04-24,112.0,ALMAGRO
2022-05-01,126.0,ALMAGRO
2022-05-08,279.0,ALMAGRO
2022-05-15,661.0,ALMAGRO
2022-05-22,746.0,ALMAGRO
2022-05-29,702.0,ALMAGRO
2022-06-05,473.0,ALMAGRO
2020-03-01,0.0,BALVANERA
2020-03-08,0.0,BALVANERA
2020-03-15,2.0,BALVANERA
2020-03-22,2.0,BALVANERA
2020-03-29,10.0,BALVANERA
2020-04-05,16.0,BALVANERA
2020-04-12,7.0,BALVANERA
2020-04-19,6.0,BALVANERA
2020-04-26,6.0,BALVANERA
2020-05-03,6.0,BALVANERA
2020-05-10,14.0,BALVANERA
